stock_symbol,entry_price,stop_loss_price,shares,initial_risk,date
LAES,$3.31,$3.27,1250,1.21,2025-05-20
APLD,$26.38,$25.82,89,2.12,2025-11-20
CAN,$2.09,$2.05,1250,1.95,2025-01-17
RR,$3.2099,$3.1700,1253,1.24,2025-08-29
GRRR,$38.80,$36.20,19,6.70,2025-03-03
REKR,$2.36,$2.34,2500,0.85,2025-10-14
NVNI,$53.69,$48.00,9,10.60,2025-01-28
ARQQ,$22.88,$22.12,66,3.32,2025-01-16
XPEV,$12.92,$12.87,1000,0.35,2025-01-14
LAES,$4.41,$4.30,455,2.49,2025-01-24
LAES,$6.04,$5.99,1000,0.83,2025-10-13
QBTS,$9.23,$9.11,417,1.35,2025-03-14
LAES,$5.00,$4.78,227,4.40,2025-01-15
REKR,$1.88,$1.76,417,6.38,2025-01-21
RGTI,$10.64,$10.03,82,5.73,2025-01-15
IONQ,$61.44,$61.22,227,0.36,2025-10-23
GRRR,$19.71,$18.70,50,5.12,2025-02-07
RCAT,$8.44,$8.34,500,1.19,2025-07-11
QSI,$1.53,$1.51,2500,1.31,2025-03-17
MSTX,$44.69,$44.36,152,0.74,2025-05-08
WKEY,$14.97,$14.55,119,2.81,2025-11-10
ONDS,$1.72,$1.70,2500,1.16,2025-06-25
RR,$2.395,$2.38,3333,0.63,2025-05-14
GSIT,$11.08,$10.91,294,1.53,2025-10-27
QBTS,$7.28,$7.07,238,2.89,2025-02-20
